scraped_at,rank,rank_change,rank_change_direction,link,name,event_text,issuer,image
2025-11-10T02:25:17.091415,1,-,default,https://www.card-gorilla.com/card/detail/13,신한카드 Mr.Life,최대 29만원 캐시백,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/13/card_img/28201/13card.png
2025-11-10T02:25:17.092013,2,-,default,https://www.card-gorilla.com/card/detail/51,삼성카드 taptap O,최대 92만원 혜택,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/51/card_img/37691/51card.png
2025-11-10T02:25:17.092385,3,-,default,https://www.card-gorilla.com/card/detail/2885,삼성 iD SELECT ALL 카드,최대 95만원 혜택,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/2885/card_img/44212/2885card_1.png
2025-11-10T02:25:17.092737,4,▲1,up,https://www.card-gorilla.com/card/detail/49,삼성카드 & MILEAGE PLATINUM (스카이패스),"3,000 마일리지 적립",삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/49/card_img/42288/49card.png
2025-11-10T02:25:17.093053,5,▼1,down,https://www.card-gorilla.com/card/detail/2441,KB국민 My WE:SH 카드,최대 25만원 캐시백,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/2441/card_img/37123/2441card_3.png
2025-11-10T02:25:17.093361,6,-,default,https://www.card-gorilla.com/card/detail/2719,카드의정석 EVERY DISCOUNT,최대 36.5만원 혜택,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/2719/card_img/35783/2719card.jpg
2025-11-10T02:25:17.093694,7,-,default,https://www.card-gorilla.com/card/detail/2609,쿠팡 와우카드,기간한정! 최대 20만원 혜택 받으세요,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/2609/card_img/31241/2609card.png
2025-11-10T02:25:17.094000,8,-,default,https://www.card-gorilla.com/card/detail/2663,American Express® Gold Card Edition2,최대 30만원 상당 혜택,현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2663/card_img/32407/2663card.png
2025-11-10T02:25:17.094291,9,-,default,https://www.card-gorilla.com/card/detail/657,taptap DIGITAL,최대 92만원 혜택,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/657/card_img/27715/657card.png
2025-11-10T02:25:17.094619,10,▲3,up,https://www.card-gorilla.com/card/detail/2886,삼성 iD SELECT ON 카드,최대 95만원 혜택,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/2886/card_img/44215/2886card_1.png
2025-11-10T02:25:17.094923,11,▲3,up,https://www.card-gorilla.com/card/detail/2759,신한카드 처음(ANNIVERSE),최대 29만원 캐시백,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/2759/card_img/37240/2759card.png
2025-11-10T02:25:17.095210,12,▲3,up,https://www.card-gorilla.com/card/detail/2835,신한카드 Discount Plan+,최대 29만원 캐시백,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/2835/card_img/41600/2835card.png
2025-11-10T02:25:17.095510,13,▼1,down,https://www.card-gorilla.com/card/detail/2330,LOCA 365 카드,최대 21만원 캐시백,롯데카드,https://d1c5n4ri2guedi.cloudfront.net/card/2330/card_img/24131/2330card.png
2025-11-10T02:25:17.095794,14,▼3,down,https://www.card-gorilla.com/card/detail/2376,삼성 iD SIMPLE 카드,최대 92만원 혜택,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/2376/card_img/27725/2376card.png
2025-11-10T02:25:17.096137,15,▲1,up,https://www.card-gorilla.com/card/detail/2904,토스뱅크 하나카드 Day,,하나카드,https://d1c5n4ri2guedi.cloudfront.net/card/2904/card_img/44666/2904card.png
2025-11-10T02:25:17.096448,16,▼6,down,https://www.card-gorilla.com/card/detail/1909,THE 1 (스카이패스),기존회원 최대 22만원 혜택,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/1909/card_img/28087/1909card.png
2025-11-10T02:25:17.096759,17,▲3,up,https://www.card-gorilla.com/card/detail/2687,카드의정석 SHOPPING+,최대 36.5만원 혜택,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/2687/card_img/33239/2687card.png
2025-11-10T02:25:17.097081,18,-,default,https://www.card-gorilla.com/card/detail/769,가온올림카드(실속형),최대 25만원 캐시백,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/769/card_img/22243/769card.png
2025-11-10T02:25:17.097390,19,-,default,https://www.card-gorilla.com/card/detail/666,올바른 FLEX 카드,최대 14만원 캐시백,NH농협카드,https://d1c5n4ri2guedi.cloudfront.net/card/666/card_img/21431/666card.png
2025-11-10T02:25:17.097691,20,▲1,up,https://www.card-gorilla.com/card/detail/39,신한카드 Deep Oil,최대 29만원 캐시백,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/39/card_img/31864/39card.png
2025-11-10T02:25:17.097995,21,▲3,up,https://www.card-gorilla.com/card/detail/2844,현대카드 ZERO Up,3만원 캐시백,현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2844/card_img/43699/2844card.png
2025-11-10T02:25:17.098296,22,▼5,down,https://www.card-gorilla.com/card/detail/2676,삼성 iD GLOBAL 카드,최대 92만원 혜택,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/2676/card_img/32887/2676card_2.png
2025-11-10T02:25:17.098600,23,▼1,down,https://www.card-gorilla.com/card/detail/2685,WE:SH Travel,,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/2685/card_img/37137/2685ard_2.png
2025-11-10T02:25:17.098895,24,▼1,down,https://www.card-gorilla.com/card/detail/2553,카드의정석 EVERY MILE SKYPASS,3.9만원 캐시백,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/2553/card_img/44235/2553card.png
2025-11-10T02:25:17.099288,25,▲7,up,https://www.card-gorilla.com/card/detail/2591,BC 바로 On&Off 카드,최대 25만원 혜택,BC 바로카드,https://d1c5n4ri2guedi.cloudfront.net/card/2591/card_img/30912/2591card.png
2025-11-10T02:25:17.099625,26,▲1,up,https://www.card-gorilla.com/card/detail/466,신한카드 Air One,최대 29만원 캐시백,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/466/card_img/37854/466card.png
2025-11-10T02:25:17.100114,27,▼2,down,https://www.card-gorilla.com/card/detail/115,굿데이올림카드,최대 25만원 캐시백,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/115/card_img/20273/115card.png
2025-11-10T02:25:17.100644,28,▼2,down,https://www.card-gorilla.com/card/detail/2261,LOCA LIKIT 1.2,최대 7만원 캐시백,롯데카드,https://d1c5n4ri2guedi.cloudfront.net/card/2261/card_img/21011/2261card.png
2025-11-10T02:25:17.100960,29,▼1,down,https://www.card-gorilla.com/card/detail/2646,현대카드ZERO Edition3(할인형),1.5만원 캐시백,현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2646/card_img/39624/2646card_3.png
2025-11-10T02:25:17.101273,30,▼1,down,https://www.card-gorilla.com/card/detail/2657,JADE Classic,,하나카드,https://d1c5n4ri2guedi.cloudfront.net/card/2657/card_img/32434/2657card.png
2025-11-10T02:25:17.101567,31,-,default,https://www.card-gorilla.com/card/detail/2692,현대카드 Summit,20만원 캐시백,현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2692/card_img/33549/2692card.png
2025-11-10T02:25:17.101882,32,▲18,up,https://www.card-gorilla.com/card/detail/2666,신한카드 Point Plan,최대 29만원 캐시백,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/2666/card_img/32452/2666card.png
2025-11-10T02:25:17.102197,33,▲5,up,https://www.card-gorilla.com/card/detail/2707,디지로카 Las Vegas,최대 21만원 캐시백,롯데카드,https://d1c5n4ri2guedi.cloudfront.net/card/2707/card_img/34645/2707card.png
